Type,Group,Amount,Fish,Taxa
Pantothenic,Minerals,0.5,Pacific oyster,Bivalves
Vitamin B6,Minerals,0.05,Pacific oyster,Bivalves
"Folate,",Minerals,10,Pacific oyster,Bivalves
"Choline,",Minerals,NA,Pacific oyster,Bivalves
Vitamin B12,Minerals,16,Pacific oyster,Bivalves
Vitamin A,Minerals,270,Pacific oyster,Bivalves
Vitamin E,Minerals,NA,Pacific oyster,Bivalves
Vitamin D,Minerals,NA,Pacific oyster,Bivalves
Vitamin K,Minerals,NA,Pacific oyster,Bivalves
"Water,",Water,86.2,Eastern oyster (farm),Bivalves
"Energy,",Energy,59,Eastern oyster (farm),Bivalves
Protein (N x 6.25),Protein,5.22,Eastern oyster (farm),Bivalves
Total lipid (fat),Fat,1.55,Eastern oyster (farm),Bivalves
"Tryptophan,",Amino acids,0.059,Eastern oyster (farm),Bivalves
"Threonine,",Amino acids,0.225,Eastern oyster (farm),Bivalves
"Isoleucine,",Amino acids,0.227,Eastern oyster (farm),Bivalves
"Leucine,",Amino acids,0.368,Eastern oyster (farm),Bivalves
"Lysine,",Amino acids,0.39,Eastern oyster (farm),Bivalves
"Methionine,",Amino acids,0.118,Eastern oyster (farm),Bivalves
"Cystine,",Amino acids,0.069,Eastern oyster (farm),Bivalves
"Phenylalanine,",Amino acids,0.187,Eastern oyster (farm),Bivalves
"Tyrosine,",Amino acids,0.167,Eastern oyster (farm),Bivalves
"Valine,",Amino acids,0.228,Eastern oyster (farm),Bivalves
"Arginine,",Amino acids,0.381,Eastern oyster (farm),Bivalves
"Histidine,",Amino acids,0.1,Eastern oyster (farm),Bivalves
"Alanine,",Amino acids,0.316,Eastern oyster (farm),Bivalves
Aspartic,Amino acids,0.504,Eastern oyster (farm),Bivalves
Glutamic,Amino acids,0.711,Eastern oyster (farm),Bivalves
"Glycine,",Amino acids,0.327,Eastern oyster (farm),Bivalves
"Proline,",Amino acids,0.213,Eastern oyster (farm),Bivalves
"Serine,",Amino acids,0.234,Eastern oyster (farm),Bivalves
Total amino acids,Amino acids,4.82,Eastern oyster (farm),Bivalves
Saturated,Lipids,0.443,Eastern oyster (farm),Bivalves
Monounsaturated,Lipids,0.152,Eastern oyster (farm),Bivalves
Polyunsaturated,Lipids,0.591,Eastern oyster (farm),Bivalves
"(EPA),",Lipids,188,Eastern oyster (farm),Bivalves
"(DHA),",Lipids,203,Eastern oyster (farm),Bivalves
Cholesterol,Lipids,25,Eastern oyster (farm),Bivalves
Calcium,Minerals,44,Eastern oyster (farm),Bivalves
Iron,Minerals,5.78,Eastern oyster (farm),Bivalves
Magnesium,Minerals,33,Eastern oyster (farm),Bivalves
Phosphorus,Minerals,93,Eastern oyster (farm),Bivalves
Potassium,Minerals,124,Eastern oyster (farm),Bivalves
Sodium,Minerals,178,Eastern oyster (farm),Bivalves
Zinc,Minerals,37.92,Eastern oyster (farm),Bivalves
Copper,Minerals,0.74,Eastern oyster (farm),Bivalves
Manganese,Minerals,0.39,Eastern oyster (farm),Bivalves
Selenium,Minerals,63.7,Eastern oyster (farm),Bivalves
Vitamins,Minerals,,Eastern oyster (farm),Bivalves
Vitamin C,Minerals,4.7,Eastern oyster (farm),Bivalves
"Thiamin,",Minerals,0.11,Eastern oyster (farm),Bivalves
"Riboflavin,",Minerals,0.07,Eastern oyster (farm),Bivalves
"Niacin,",Minerals,1.27,Eastern oyster (farm),Bivalves
Pantothenic,Minerals,0.16,Eastern oyster (farm),Bivalves
Vitamin B6,Minerals,0.06,Eastern oyster (farm),Bivalves
"Folate,",Minerals,18,Eastern oyster (farm),Bivalves
"Choline,",Minerals,NA,Eastern oyster (farm),Bivalves
Vitamin B12,Minerals,16.2,Eastern oyster (farm),Bivalves
Vitamin A,Minerals,25,Eastern oyster (farm),Bivalves
Vitamin E,Minerals,NA,Eastern oyster (farm),Bivalves
Vitamin D,Minerals,1,Eastern oyster (farm),Bivalves
Vitamin K,Minerals,NA,Eastern oyster (farm),Bivalves
"Water,",Water,89.04,Eastern oyster (wild),Bivalves
"Energy,",Energy,51,Eastern oyster (wild),Bivalves
Protein (N x 6.25),Protein,5.71,Eastern oyster (wild),Bivalves
Total lipid (fat),Fat,1.71,Eastern oyster (wild),Bivalves
"Tryptophan,",Amino acids,0.069,Eastern oyster (wild),Bivalves
"Threonine,",Amino acids,0.23,Eastern oyster (wild),Bivalves
"Isoleucine,",Amino acids,0.229,Eastern oyster (wild),Bivalves
"Leucine,",Amino acids,0.358,Eastern oyster (wild),Bivalves
"Lysine,",Amino acids,0.381,Eastern oyster (wild),Bivalves
"Methionine,",Amino acids,0.129,Eastern oyster (wild),Bivalves
"Cystine,",Amino acids,0.055,Eastern oyster (wild),Bivalves
"Phenylalanine,",Amino acids,0.207,Eastern oyster (wild),Bivalves
"Tyrosine,",Amino acids,0.202,Eastern oyster (wild),Bivalves
"Valine,",Amino acids,0.262,Eastern oyster (wild),Bivalves
"Arginine,",Amino acids,0.372,Eastern oyster (wild),Bivalves
"Histidine,",Amino acids,0.11,Eastern oyster (wild),Bivalves
"Alanine,",Amino acids,0.271,Eastern oyster (wild),Bivalves
Aspartic,Amino acids,0.491,Eastern oyster (wild),Bivalves
Glutamic,Amino acids,0.675,Eastern oyster (wild),Bivalves
"Glycine,",Amino acids,0.275,Eastern oyster (wild),Bivalves
"Proline,",Amino acids,0.225,Eastern oyster (wild),Bivalves
"Serine,",Amino acids,0.225,Eastern oyster (wild),Bivalves
Total amino acids,Amino acids,4.77,Eastern oyster (wild),Bivalves
Saturated,Lipids,0.474,Eastern oyster (wild),Bivalves
Monounsaturated,Lipids,0.253,Eastern oyster (wild),Bivalves
Polyunsaturated,Lipids,0.528,Eastern oyster (wild),Bivalves
"(EPA),",Lipids,177,Eastern oyster (wild),Bivalves
"(DHA),",Lipids,136,Eastern oyster (wild),Bivalves
Cholesterol,Lipids,40,Eastern oyster (wild),Bivalves
Calcium,Minerals,59,Eastern oyster (wild),Bivalves
Iron,Minerals,4.61,Eastern oyster (wild),Bivalves
Magnesium,Minerals,18,Eastern oyster (wild),Bivalves
Phosphorus,Minerals,97,Eastern oyster (wild),Bivalves
Potassium,Minerals,156,Eastern oyster (wild),Bivalves
Sodium,Minerals,85,Eastern oyster (wild),Bivalves
Zinc,Minerals,39.3,Eastern oyster (wild),Bivalves
Copper,Minerals,2.86,Eastern oyster (wild),Bivalves
Manganese,Minerals,0.3,Eastern oyster (wild),Bivalves
Selenium,Minerals,19.7,Eastern oyster (wild),Bivalves
Vitamins,Minerals,,Eastern oyster (wild),Bivalves
Vitamin C,Minerals,0,Eastern oyster (wild),Bivalves
"Thiamin,",Minerals,0.02,Eastern oyster (wild),Bivalves
"Riboflavin,",Minerals,0.09,Eastern oyster (wild),Bivalves
"Niacin,",Minerals,0.93,Eastern oyster (wild),Bivalves
Pantothenic,Minerals,0.22,Eastern oyster (wild),Bivalves
Vitamin B6,Minerals,0.03,Eastern oyster (wild),Bivalves
"Folate,",Minerals,7,Eastern oyster (wild),Bivalves
"Choline,",Minerals,65,Eastern oyster (wild),Bivalves
Vitamin B12,Minerals,8.75,Eastern oyster (wild),Bivalves
Vitamin A,Minerals,44,Eastern oyster (wild),Bivalves
Vitamin E,Minerals,0.85,Eastern oyster (wild),Bivalves
Vitamin D,Minerals,1,Eastern oyster (wild),Bivalves
Vitamin K,Minerals,1,Eastern oyster (wild),Bivalves
"Water,",Water,82.53,Scallops,Bivalves
"Energy,",Energy,69,Scallops,Bivalves
Protein (N x 6.25),Protein,12.06,Scallops,Bivalves
Total lipid (fat),Fat,0.49,Scallops,Bivalves
"Tryptophan,",Amino acids,0.102,Scallops,Bivalves
"Threonine,",Amino acids,0.369,Scallops,Bivalves
"Isoleucine,",Amino acids,0.406,Scallops,Bivalves
"Leucine,",Amino acids,0.72,Scallops,Bivalves
"Lysine,",Amino acids,0.739,Scallops,Bivalves
"Methionine,",Amino acids,0.286,Scallops,Bivalves
"Cystine,",Amino acids,0.12,Scallops,Bivalves
"Phenylalanine,",Amino acids,0.351,Scallops,Bivalves
"Tyrosine,",Amino acids,0.296,Scallops,Bivalves
"Valine,",Amino acids,0.379,Scallops,Bivalves
"Arginine,",Amino acids,0.646,Scallops,Bivalves
"Histidine,",Amino acids,0.185,Scallops,Bivalves
"Alanine,",Amino acids,0.536,Scallops,Bivalves
Aspartic,Amino acids,0.923,Scallops,Bivalves
Glutamic,Amino acids,1.404,Scallops,Bivalves
"Glycine,",Amino acids,1.034,Scallops,Bivalves
"Proline,",Amino acids,0.286,Scallops,Bivalves
"Serine,",Amino acids,0.36,Scallops,Bivalves
Total amino acids,Amino acids,9.14,Scallops,Bivalves
Saturated,Lipids,0.128,Scallops,Bivalves
Monounsaturated,Lipids,0.048,Scallops,Bivalves
Polyunsaturated,Lipids,0.13,Scallops,Bivalves
"(EPA),",Lipids,42,Scallops,Bivalves
"(DHA),",Lipids,61,Scallops,Bivalves
Cholesterol,Lipids,24,Scallops,Bivalves
Calcium,Minerals,6,Scallops,Bivalves
Iron,Minerals,0.38,Scallops,Bivalves
Magnesium,Minerals,22,Scallops,Bivalves
Phosphorus,Minerals,334,Scallops,Bivalves
Potassium,Minerals,205,Scallops,Bivalves
Sodium,Minerals,392,Scallops,Bivalves
Zinc,Minerals,0.91,Scallops,Bivalves
Copper,Minerals,0.02,Scallops,Bivalves
Manganese,Minerals,0.02,Scallops,Bivalves
Selenium,Minerals,12.8,Scallops,Bivalves
Vitamins,Minerals,,Scallops,Bivalves
Vitamin C,Minerals,0,Scallops,Bivalves
"Thiamin,",Minerals,0.01,Scallops,Bivalves
"Riboflavin,",Minerals,0.02,Scallops,Bivalves
"Niacin,",Minerals,0.7,Scallops,Bivalves
Pantothenic,Minerals,0.22,Scallops,Bivalves
Vitamin B6,Minerals,0.07,Scallops,Bivalves
"Folate,",Minerals,16,Scallops,Bivalves
"Choline,",Minerals,65,Scallops,Bivalves
Vitamin B12,Minerals,1.41,Scallops,Bivalves
Vitamin A,Minerals,3,Scallops,Bivalves
Vitamin E,Minerals,0,Scallops,Bivalves
Vitamin D,Minerals,NA,Scallops,Bivalves
Vitamin K,Minerals,0,Scallops,Bivalves
"Water,",Water,80.56,Cuttlefishes,Cephalopods
"Energy,",Energy,79,Cuttlefishes,Cephalopods
Protein (N x 6.25),Protein,16.24,Cuttlefishes,Cephalopods
Total lipid (fat),Fat,0.7,Cuttlefishes,Cephalopods
"Tryptophan,",Amino acids,0.182,Cuttlefishes,Cephalopods
"Threonine,",Amino acids,0.699,Cuttlefishes,Cephalopods
"Isoleucine,",Amino acids,0.707,Cuttlefishes,Cephalopods
"Leucine,",Amino acids,1.143,Cuttlefishes,Cephalopods
"Lysine,",Amino acids,1.213,Cuttlefishes,Cephalopods
"Methionine,",Amino acids,0.366,Cuttlefishes,Cephalopods
"Cystine,",Amino acids,0.213,Cuttlefishes,Cephalopods
"Phenylalanine,",Amino acids,0.582,Cuttlefishes,Cephalopods
"Tyrosine,",Amino acids,0.52,Cuttlefishes,Cephalopods
"Valine,",Amino acids,0.709,Cuttlefishes,Cephalopods
"Arginine,",Amino acids,1.185,Cuttlefishes,Cephalopods
"Histidine,",Amino acids,0.312,Cuttlefishes,Cephalopods
"Alanine,",Amino acids,0.982,Cuttlefishes,Cephalopods
Aspartic,Amino acids,1.567,Cuttlefishes,Cephalopods
Glutamic,Amino acids,2.208,Cuttlefishes,Cephalopods
"Glycine,",Amino acids,1.016,Cuttlefishes,Cephalopods
"Proline,",Amino acids,0.662,Cuttlefishes,Cephalopods
"Serine,",Amino acids,0.727,Cuttlefishes,Cephalopods
Total amino acids,Amino acids,14.99,Cuttlefishes,Cephalopods
Saturated,Lipids,0.118,Cuttlefishes,Cephalopods
Monounsaturated,Lipids,0.081,Cuttlefishes,Cephalopods
Polyunsaturated,Lipids,0.134,Cuttlefishes,Cephalopods
"(EPA),",Lipids,39,Cuttlefishes,Cephalopods
"(DHA),",Lipids,66,Cuttlefishes,Cephalopods
Cholesterol,Lipids,112,Cuttlefishes,Cephalopods
Calcium,Minerals,90,Cuttlefishes,Cephalopods
Iron,Minerals,6.02,Cuttlefishes,Cephalopods
Magnesium,Minerals,30,Cuttlefishes,Cephalopods
Phosphorus,Minerals,387,Cuttlefishes,Cephalopods
Potassium,Minerals,354,Cuttlefishes,Cephalopods
Sodium,Minerals,372,Cuttlefishes,Cephalopods
Zinc,Minerals,1.73,Cuttlefishes,Cephalopods
Copper,Minerals,0.59,Cuttlefishes,Cephalopods
Manganese,Minerals,0.11,Cuttlefishes,Cephalopods
Selenium,Minerals,44.8,Cuttlefishes,Cephalopods
Vitamins,Minerals,,Cuttlefishes,Cephalopods
Vitamin C,Minerals,5.3,Cuttlefishes,Cephalopods
"Thiamin,",Minerals,0.01,Cuttlefishes,Cephalopods
"Riboflavin,",Minerals,0.91,Cuttlefishes,Cephalopods
"Niacin,",Minerals,1.22,Cuttlefishes,Cephalopods
Pantothenic,Minerals,0.5,Cuttlefishes,Cephalopods
Vitamin B6,Minerals,0.15,Cuttlefishes,Cephalopods
"Folate,",Minerals,16,Cuttlefishes,Cephalopods
"Choline,",Minerals,NA,Cuttlefishes,Cephalopods
Vitamin B12,Minerals,3,Cuttlefishes,Cephalopods
Vitamin A,Minerals,375,Cuttlefishes,Cephalopods
Vitamin E,Minerals,NA,Cuttlefishes,Cephalopods
Vitamin D,Minerals,0,Cuttlefishes,Cephalopods
Vitamin K,Minerals,NA,Cuttlefishes,Cephalopods
"Water,",Water,78.55,Squids,Cephalopods
"Energy,",Energy,92,Squids,Cephalopods
Protein (N x 6.25),Protein,15.58,Squids,Cephalopods
Total lipid (fat),Fat,1.38,Squids,Cephalopods
"Tryptophan,",Amino acids,0.174,Squids,Cephalopods
"Threonine,",Amino acids,0.67,Squids,Cephalopods
"Isoleucine,",Amino acids,0.678,Squids,Cephalopods
"Leucine,",Amino acids,1.096,Squids,Cephalopods
"Lysine,",Amino acids,1.164,Squids,Cephalopods
"Methionine,",Amino acids,0.351,Squids,Cephalopods
"Cystine,",Amino acids,0.204,Squids,Cephalopods
"Phenylalanine,",Amino acids,0.558,Squids,Cephalopods
"Tyrosine,",Amino acids,0.498,Squids,Cephalopods
"Valine,",Amino acids,0.68,Squids,Cephalopods
"Arginine,",Amino acids,1.136,Squids,Cephalopods
"Histidine,",Amino acids,0.299,Squids,Cephalopods
"Alanine,",Amino acids,0.942,Squids,Cephalopods
Aspartic,Amino acids,1.503,Squids,Cephalopods
Glutamic,Amino acids,2.118,Squids,Cephalopods
"Glycine,",Amino acids,0.974,Squids,Cephalopods
"Proline,",Amino acids,0.635,Squids,Cephalopods
"Serine,",Amino acids,0.698,Squids,Cephalopods
Total amino acids,Amino acids,14.38,Squids,Cephalopods
Saturated,Lipids,0.358,Squids,Cephalopods
Monounsaturated,Lipids,0.107,Squids,Cephalopods
Polyunsaturated,Lipids,0.524,Squids,Cephalopods
"(EPA),",Lipids,146,Squids,Cephalopods
"(DHA),",Lipids,342,Squids,Cephalopods
Cholesterol,Lipids,233,Squids,Cephalopods
Calcium,Minerals,32,Squids,Cephalopods
Iron,Minerals,0.68,Squids,Cephalopods
Magnesium,Minerals,33,Squids,Cephalopods
Phosphorus,Minerals,221,Squids,Cephalopods
Potassium,Minerals,246,Squids,Cephalopods
Sodium,Minerals,44,Squids,Cephalopods
Zinc,Minerals,1.53,Squids,Cephalopods
Copper,Minerals,1.89,Squids,Cephalopods
Manganese,Minerals,0.04,Squids,Cephalopods
Selenium,Minerals,44.8,Squids,Cephalopods
Vitamins,Minerals,,Squids,Cephalopods
Vitamin C,Minerals,4.7,Squids,Cephalopods
"Thiamin,",Minerals,0.02,Squids,Cephalopods
"Riboflavin,",Minerals,0.41,Squids,Cephalopods
"Niacin,",Minerals,2.18,Squids,Cephalopods
Pantothenic,Minerals,0.5,Squids,Cephalopods
Vitamin B6,Minerals,0.06,Squids,Cephalopods
"Folate,",Minerals,5,Squids,Cephalopods
"Choline,",Minerals,65,Squids,Cephalopods
Vitamin B12,Minerals,1.3,Squids,Cephalopods
Vitamin A,Minerals,33,Squids,Cephalopods
Vitamin E,Minerals,1.2,Squids,Cephalopods
Vitamin D,Minerals,0,Squids,Cephalopods
Vitamin K,Minerals,0,Squids,Cephalopods
"Water,",Water,80.25,Common octopus,Cephalopods
"Energy,",Energy,82,Common octopus,Cephalopods
Protein (N x 6.25),Protein,14.91,Common octopus,Cephalopods
Total lipid (fat),Fat,1.04,Common octopus,Cephalopods
"Tryptophan,",Amino acids,0.167,Common octopus,Cephalopods
"Threonine,",Amino acids,0.642,Common octopus,Cephalopods
"Isoleucine,",Amino acids,0.649,Common octopus,Cephalopods
"Leucine,",Amino acids,1.049,Common octopus,Cephalopods
"Lysine,",Amino acids,1.114,Common octopus,Cephalopods
"Methionine,",Amino acids,0.336,Common octopus,Cephalopods
"Cystine,",Amino acids,0.196,Common octopus,Cephalopods
"Phenylalanine,",Amino acids,0.534,Common octopus,Cephalopods
"Tyrosine,",Amino acids,0.477,Common octopus,Cephalopods
"Valine,",Amino acids,0.651,Common octopus,Cephalopods
"Arginine,",Amino acids,1.088,Common octopus,Cephalopods
"Histidine,",Amino acids,0.286,Common octopus,Cephalopods
"Alanine,",Amino acids,0.902,Common octopus,Cephalopods
Aspartic,Amino acids,1.438,Common octopus,Cephalopods
Glutamic,Amino acids,2.027,Common octopus,Cephalopods
"Glycine,",Amino acids,0.933,Common octopus,Cephalopods
"Proline,",Amino acids,0.608,Common octopus,Cephalopods
"Serine,",Amino acids,0.668,Common octopus,Cephalopods
Total amino acids,Amino acids,13.77,Common octopus,Cephalopods
Saturated,Lipids,0.227,Common octopus,Cephalopods
Monounsaturated,Lipids,0.162,Common octopus,Cephalopods
Polyunsaturated,Lipids,0.239,Common octopus,Cephalopods
"(EPA),",Lipids,76,Common octopus,Cephalopods
"(DHA),",Lipids,81,Common octopus,Cephalopods
Cholesterol,Lipids,48,Common octopus,Cephalopods
Calcium,Minerals,53,Common octopus,Cephalopods
Iron,Minerals,5.3,Common octopus,Cephalopods
Magnesium,Minerals,30,Common octopus,Cephalopods
Phosphorus,Minerals,186,Common octopus,Cephalopods
Potassium,Minerals,350,Common octopus,Cephalopods
Sodium,Minerals,230,Common octopus,Cephalopods
Zinc,Minerals,1.68,Common octopus,Cephalopods
Copper,Minerals,0.44,Common octopus,Cephalopods
Manganese,Minerals,0.03,Common octopus,Cephalopods
Selenium,Minerals,44.8,Common octopus,Cephalopods
Vitamins,Minerals,,Common octopus,Cephalopods
Vitamin C,Minerals,5,Common octopus,Cephalopods
"Thiamin,",Minerals,0.03,Common octopus,Cephalopods
"Riboflavin,",Minerals,0.04,Common octopus,Cephalopods
"Niacin,",Minerals,2.1,Common octopus,Cephalopods
Pantothenic,Minerals,0.5,Common octopus,Cephalopods
Vitamin B6,Minerals,0.36,Common octopus,Cephalopods
"Folate,",Minerals,16,Common octopus,Cephalopods
"Choline,",Minerals,65,Common octopus,Cephalopods
Vitamin B12,Minerals,20,Common octopus,Cephalopods
Vitamin A,Minerals,150,Common octopus,Cephalopods
Vitamin E,Minerals,1.2,Common octopus,Cephalopods
Vitamin D,Minerals,,Common octopus,Cephalopods
Vitamin K,Minerals,0.1,Common octopus,Cephalopods
